Transaction_Name,Minimum,Average,Maximum,Std_Deviation,ninety_Percent,Pass,Fail,Stop
CreateCustomerTriplePlay_Review_XX_OE_prepareQuote,0.144,0.352,3.293,0.186,0.499,924,0,0
CreateCustomerTriplePlay_Review_XX_OE_shortSummary,0.047,0.11,0.769,0.052,0.156,924,0,0
CreateCustomerTriplePlay_Finish,5.476,9.902,25.16,2.539,12.883,923,1,0
CreateCustomerTriplePlay_Finish_XX_AIS_drops,0,0,0,0,0,924,0,0
CreateCustomerTriplePlay_Finish_XX_BRM_account,0.172,0.233,0.554,0.031,0.262,924,0,0
CreateCustomerTriplePlay_Finish_XX_BRM_account_pendingitems,0.062,0.12,0.407,0.023,0.141,924,0,0
CreateCustomerTriplePlay_Finish_XX_BRM_TranHistory,0.058,0.115,3.089,0.102,0.135,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_account_note,0.046,0.056,0.502,0.019,0.062,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_accounts,0.06,0.074,0.67,0.028,0.081,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_CustomerAlers,0.016,0.021,0.222,0.012,0.03,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_customers,0.031,0.058,0.624,0.028,0.078,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_customers_account,0.094,0.117,0.471,0.024,0.128,924,0,0
CreateCustomerTriplePlay_Finish_XX_CDI_SalesLead,0.016,0.021,0.321,0.012,0.025,924,0,0
CreateCustomerTriplePlay_Finish_XX_CPE_Equipments_NOT_FOUND,0.196,0.196,0.196,0,0.196,1,0,0
CreateCustomerTriplePlay_Finish_XX_CPE_Equipments_SUCCESS,0.037,0.07,0.945,0.034,0.09,923,0,0
CreateCustomerTriplePlay_Finish_XX_FFM_AddressID,0,0,0,0,0,924,0,0
CreateCustomerTriplePlay_Finish_XX_OE_account,0.12,0.415,3.601,0.241,0.662,924,0,0
CreateCustomerTriplePlay_Finish_XX_OE_CheckOrderStatus,0.094,0.447,5.133,0.382,0.935,4742,0,0
CreateCustomerTriplePlay_Finish_XX_OE_CustDesktop,0.39,0.933,3.622,0.366,1.409,924,0,0
CreateCustomerTriplePlay_Finish_XX_OE_CustOrdHist,0.764,1.635,9.614,0.711,2.387,924,0,0
CreateCustomerTriplePlay_Finish_XX_OE_prepareQuote,0.718,1.296,6.96,0.519,1.747,925,0,0
CreateCustomerTriplePlay_Finish_XX_OE_refreshDesktop,0.041,0.119,2.012,0.095,0.167,925,0,0
CreateCustomerTriplePlay_Finish_XX_OE_shortSummary,1.248,2.254,8.243,0.708,3.089,925,0,0
CreateCustomerTriplePlay_Finish_XX_SA_ServiceAvailability,0,0.019,0.328,0.01,0.024,3696,0,0
CreateCustomerTriplePlay_Finish_XX_TSRWS_getCityNode,0,0,0,0,0,2772,0,0
CreateCustomerTriplePlay_Finish_XX_TSRWS_RegionalNodeAndServerStatus,0,0,0,0,0,1848,0,0
CreateCustomerTriplePlay_CreateCustomerNote,0.047,0.096,2.665,0.115,0.109,923,0,0
CreateCustomerTriplePlay_CreateCustomerNote_XX_OE_CustOrderHistory,0,0.037,2.598,0.11,0.047,923,0,0
CreateCustomerTriplePlay_CreateCustomerNote_XX_OE_Note,0.047,0.059,0.822,0.036,0.067,923,0,0
CreateCustomerTriplePlay_Total,20.116,33.993,52.206,5.57,40.614,922,3,0
DoublePlayInternetPhone_Login,0.742,0.766,0.791,0.024,0.791,2,0,0
DoublePlayInternetPhone_AddressSearch,0.218,0.272,2.691,0.089,0.306,870,0,0
DoublePlayInternetPhone_AddressSearch_XX_AIS_Addresses,0.218,0.272,2.691,0.089,0.306,870,0,0
DoublePlayInternetPhone_SelectAddress,0.14,0.177,3.172,0.105,0.202,869,1,0
DoublePlayInternetPhone_SelectAddress_XX_AIS_Address,0.016,0.034,3.046,0.103,0.036,870,0,0
DoublePlayInternetPhone_SelectAddress_XX_AIS_Drops,0.016,0.027,0.162,0.012,0.033,869,1,0
DoublePlayInternetPhone_SelectAddress_XX_CDI_Customers,0.078,0.116,0.454,0.018,0.132,870,0,0
DoublePlayInternetPhone_SelectAddress_XX_CDI_CustomerAlerts,0.015,0.021,0.137,0.009,0.029,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink,0.748,1.282,5.46,0.478,1.791,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_CDI_Customers,0.094,0.118,3.11,0.103,0.126,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_CDI_SalesLeads,0.016,0.022,0.335,0.014,0.031,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_FFM_AddressID,0.03,0.058,0.269,0.022,0.071,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_OE_NewCustomerDesktop,0.406,0.924,4.321,0.445,1.41,868,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_SA_ServiceAvailability,0,0.014,0.062,0.009,0.022,3472,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_TSRWS_GetCityByNode,0,0.007,1.062,0.029,0.016,2604,0,0
DoublePlayInternetPhone_SelectCreateCustomerLink_XX_TSRWS_RegionalNodeAndServerStatus,0,0.022,0.748,0.033,0.031,1736,0,0
DoublePlayInternetPhone_AddProduct,0.047,0.137,1.352,0.104,0.198,868,0,0
DoublePlayInternetPhone_AddProduct_XX_OE_AddOffer,0.047,0.136,1.351,0.104,0.195,868,0,0
DoublePlayInternetPhone_SelectProduct,0.094,0.279,4.413,0.24,0.391,870,0,0
DoublePlayInternetPhone_SelectProduct_XX_OE_SelectOffer,0.094,0.279,4.412,0.24,0.39,870,0,0
DoublePlayInternetPhone_TelHWWrench,0.218,0.581,4.818,0.301,0.798,869,0,0
DoublePlayInternetPhone_TelHWWrench_XX_OE_AddOffer,0.062,0.156,2.07,0.13,0.229,868,0,0
DoublePlayInternetPhone_TelHWWrench_XX_OE_SelectOffer,0.094,0.274,2.235,0.146,0.406,869,0,0
DoublePlayInternetPhone_TelHWWrench_XX_OE_showHardware,0.047,0.152,4.447,0.205,0.208,869,0,0
DoublePlayInternetPhone_TelValidate,0.094,0.218,2.111,0.158,0.316,870,0,0
DoublePlayInternetPhone_TelValidate_XX_OE_validateHW,0.094,0.218,2.111,0.158,0.316,870,0,0
DoublePlayInternetPhone_TelSaveEquipment,0.094,0.276,3.541,0.197,0.397,870,0,0
DoublePlayInternetPhone_TelSaveEquipment_XX_OE_saveEquipment,0.094,0.276,3.541,0.197,0.397,870,0,0
DoublePlayInternetPhone_CustomerID,0.14,0.349,3.775,0.215,0.487,870,0,0
DoublePlayInternetPhone_CustomerID_XX_OE_prepareQuote,0.094,0.235,3.228,0.173,0.334,870,0,0
DoublePlayInternetPhone_CustomerID_XX_OE_shortSummary,0.045,0.114,1.25,0.073,0.169,870,0,0
DoublePlayInternetPhone_BillingPref_XX_OE_contactEmailChangedAction,0.031,0.129,3.39,0.171,0.171,870,0,0
DoublePlayInternetPhone_BillingPref_XX_OE_prepareQuote,0.374,0.576,2.781,0.16,0.709,870,0,0
DoublePlayInternetPhone_BillingPref_XX_OE_shortSummary,0.031,0.094,0.635,0.047,0.14,870,0,0
DoublePlayInternetPhone_BillingPref_XX_OE_systemrpcUpdate,0.031,0.114,3.04,0.128,0.161,870,0,0
DoublePlayInternetPhone_BillingRef,0.515,0.913,7.734,0.376,1.156,870,0,0
DoublePlayInternetPhone_AddServices,0.156,0.39,2.544,0.236,0.583,868,0,0
DoublePlayInternetPhone_AddServices_XX_OE_prepareQuote,0.109,0.296,2.291,0.194,0.447,868,0,0
DoublePlayInternetPhone_AddServices_XX_OE_shortSummary,0.031,0.094,1.541,0.069,0.14,868,0,0
DoublePlayInternetPhone_SelectNumber,0.047,0.164,3.07,0.165,0.236,868,0,0
DoublePlayInternetPhone_SelectNumber_XX_OE_selectPhone,0.047,0.164,3.07,0.165,0.236,868,0,0
DoublePlayInternetPhone_ChooseNumber,0.163,0.38,2.27,0.18,0.534,868,0,0
DoublePlayInternetPhone_ChooseNumber_XX_OE_PhoneTypeChange,0.163,0.38,2.27,0.18,0.534,868,0,0
DoublePlayInternetPhone_AssignNumber,0.125,0.311,2.391,0.158,0.449,867,0,0
DoublePlayInternetPhone_AssignNumber_XX_OE_AssignPhone,0.125,0.311,2.391,0.158,0.449,867,0,0
DoublePlayInternetPhone_ListingType,0.031,0.119,2.035,0.124,0.171,868,0,0
DoublePlayInternetPhone_ListingType_XX_OE_selectList,0.031,0.119,2.035,0.124,0.171,868,0,0
DoublePlayInternetPhone_SaveTelephone,0.094,0.272,3.216,0.219,0.381,872,0,0
DoublePlayInternetPhone_SaveTelephone_XX_OE_savePhone,0.094,0.272,3.216,0.219,0.381,872,0,0
DoublePlayInternetPhone_Internet5,0.156,0.399,3.818,0.243,0.578,870,0,0
DoublePlayInternetPhone_Internet5_XX_OE_ItemModified,0.156,0.399,3.818,0.243,0.578,870,0,0
DoublePlayInternetPhone_InternetHWWrench,0.062,0.174,1.751,0.102,0.253,871,0,0
DoublePlayInternetPhone_InternetHWWrench_XX_OE_showHWPop,0.062,0.174,1.751,0.102,0.253,871,0,0
DoublePlayInternetPhone_Internet_Validate,0.14,0.36,5.117,0.329,0.512,871,0,0
DoublePlayInternetPhone_Internet_Validate_XX_OE_validateHW,0.14,0.36,5.117,0.329,0.511,871,0,0
DoublePlayInternetPhone_SaveInternetEquipment,0.14,0.372,2.974,0.242,0.522,870,0,0
DoublePlayInternetPhone_SaveInternetEquipment_XX_OE_saveEquipment,0.14,0.372,2.974,0.242,0.522,870,0,0
DoublePlayInternetPhone_OneTimeCharges,0.062,0.183,3.238,0.189,0.246,867,0,0
DoublePlayInternetPhone_OneTimeCharges_XX_OE_InstallationFee,0.062,0.183,3.238,0.189,0.246,867,0,0
DoublePlayInternetPhone_Appointments,0.328,0.774,3.692,0.373,1.085,863,0,0
DoublePlayInternetPhone_Appointments_XX_OE_prepareQuote,0.203,0.454,2.887,0.274,0.635,867,0,0
DoublePlayInternetPhone_Appointments_XX_OE_SelectTechnician,0.078,0.217,2.997,0.177,0.32,863,0,0
DoublePlayInternetPhone_Appointments_XX_OE_shortSummary,0.031,0.103,3.103,0.114,0.154,867,0,0
DoublePlayInternetPhone_ADDSvc_XX_OE_infotoChangeAction,0.109,0.272,1.575,0.129,0.41,863,0,0
DoublePlayInternetPhone_ADDSvc_XX_OE_Preparequote,0.156,0.372,1.958,0.17,0.552,863,0,0
DoublePlayInternetPhone_ADDSvc_XX_OE_ShortSummary,0.031,0.099,0.694,0.047,0.142,863,0,0
DoublePlayInternetPhone_InstallationFee_popup,0.312,0.743,3.534,0.303,1.078,863,0,0
DoublePlayInternetPhone_Review,0.125,0.377,4.384,0.235,0.54,863,0,0
DoublePlayInternetPhone_Review_XX_OE_prepareQuote,0.094,0.273,4.259,0.208,0.403,863,0,0
DoublePlayInternetPhone_Review_XX_OE_shortSummary,0.031,0.103,1.379,0.072,0.15,863,0,0
DoublePlayInternetPhone_CreateCustomerNote,0.047,0.059,0.579,0.031,0.067,865,0,0
DoublePlayInternetPhone_CreateCustomerNote_XX_OE_Note,0.047,0.059,0.579,0.031,0.067,865,0,0
DoublePlayInternetPhone_Finish,4.293,7.303,22.077,1.847,9.376,865,0,0
DoublePlayInternetPhone_Finish_XX_AIS_address,0.016,0.043,3.073,0.105,0.054,865,0,0
DoublePlayInternetPhone_Finish_XX_BRM_account,0.156,0.222,1.201,0.049,0.25,864,0,0
DoublePlayInternetPhone_Finish_XX_BRM_pendingitems,0.071,0.264,1.626,0.083,0.307,865,0,0
DoublePlayInternetPhone_Finish_XX_BRM_TranHistory,0.059,0.118,3.134,0.106,0.14,865,0,0
DoublePlayInternetPhone_Finish_XX_CDI_account_note,0.044,0.056,0.218,0.011,0.062,865,0,0
